ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
15.1;Légumes crus;20044;Potiron, cru;84.2;19.9;84.2;19.9;91.6;   1;   1; 3.5; 0.1;1.36;   1; 0.5;-; 0.8;0;-;               0.052;               0.013;               0.005;0;0;0;-;               0.001;               0.006;               0.037;               0.003;-;-;-;-;0;0;0;              0.0025;  21;-;0.13; 0.8;-;  12;0.13;  44; 340;-;   1;0.32;0;3100;0;1.06; 1.1;-;   9;0.05;0.11; 0.6; 0.3;               0.061;  16;0
15.1;Légumes crus;20267;Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons); 217;51.5; 217;51.5;85.7; 2.4; 2.4;8.48;               0.078;2.62;-;3.62;-;0.54;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.04;-;-;-;-;-;-;-;-;-;-;16.7;-;-;-;-;-;-;-;  16;-;-;-;-;-;-;-
15.1;Légumes crus;20089;Radis noir, cru;85.1;20.3;85.1;20.3;93.6; 0.9; 0.9; 3.1;< 0.1;-;< 0.5; 1.9;-;   1;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;               0.022;53.8;-;< 0.1;0.15;  19;  11;< 0.1;  29; 312;-; 8.6;0.14;-;< 50;0;traces;-;-; 6.4;< 0.05;< 0.05; 1.2;0.21;0.06;58.4;-
15.1;Légumes crus;20045;Radis rouge, cru;47.8;11.4;47.8;11.4;95.9;0.76;0.76;1.24; 0.1;1.24;0; 1.1;-;0.78;0; 0.1;traces;               0.015;               0.045;0;0;0;0;0;traces;traces;traces;traces;traces;traces;-;0;0;< 0.063;               0.098;  32;  61;               0.019; 0.2;   1;12.6;               0.044;24.1; 294;< 10;  39;0.12;0;   4;0;0.01; 1.3;-;27.5;               0.021;               0.035;0.26;0.18;               0.067;21.8;0
15.1;Légumes crus;20217;Roquette, crue; 117;27.9; 117;27.9;92.7;2.58;2.58; 2.1;0.66;2.05;-; 1.6;-; 1.4;0;-;               0.086;               0.049;0.32;0;0;0;0;               0.003;0;               0.072;               0.004;-;-;-;-;0;0;0;               0.039; 129;-;               0.088;1.28;-;38.5;0.31;  52; 366;-;15.5;0.44;0;1420;0;0.43; 109;-;  15;               0.044;               0.086;0.31;0.44;               0.073;  97;0
15.1;Légumes crus;20201;Rutabaga, cru; 142;33.8; 142;33.8;89.5;1.17;1.17; 5.7;0.13;4.46; 0.4; 2.6;-;0.66;0;-;               0.023;0.02;               0.068;0;0;0;0;0;0;0.02;               0.003;               0.012;               0.018;0.03;0;0;0;0;               0.028;45.2;-;               0.031;0.35;0.75;  17;0.14;47.8; 349;0;  11;0.21;0;   1;0; 0.3; 0.3;-;  33;               0.068;0.04;1.25;0.14;0.11;  24;0
15.1;Légumes crus;20012;Salade ou chicorée frisée, crue;91.3;21.8;91.3;21.8;93.9;1.48;1.48; 2.4;0.25; 0.7;-;   2;-;1.35;0;-;               0.061;               0.005;0.11;0;0;0;0;0;              0.0035;               0.052;              0.0025;               0.004;               0.075;               0.013;-;0;0;0;               0.077;  76;-; 0.2;0.85; 0.4;22.5;0.42;37.5; 367;   1;33.5;0.61;0;3430;0;2.26; 298;-;18.5;0.07;               0.088;0.45;1.03;               0.063; 126;0
15.1;Légumes crus;25604;Salade verte, crue, sans assaisonnement;56.8;13.5;56.8;13.5;96.1;1.01;1.01; 1.5; 0.1;0.83;< 0.5; 1.3;-;0.54;0;-;               0.028;              0.0035;               0.037;-;-;-;-;-;             0.00052;               0.019;              0.0029;              0.0022;               0.021;               0.016;-;-;-;< 0.5;               0.059;  20;  61;< 0.1; 0.4;< 5;  10; 0.2;23.5; 193;3.23;23.6;0.17;0;2000;< 0.5;0.17;-;-;1.95;               0.041;< 0.04;0.14;< 0.16;               0.052;55.3;0
15.1;Légumes crus;20283;Salicorne (Salicornia sp.), fraîche;58.5;14.1;58.5;14.1;92.2;0.67;0.67; 1.1;0.24;-;-;2.46;-;3.34;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.56;34.3;-;0.07;4.89;0;75.3; 0.7;19.5; 119;-;1020;0.48;-;-;-;0.51;-;-;-;-;-;-;-;-;-;-
15.1;Légumes crus;20197;Salsifis noir, cru; 351;83.1; 351;83.1;  77;3.21;3.21;15.3;0.27;-;-; 3.3;-; 0.9;0;-;< 0.1;-;-;-;-;-;-;-;-;-;-;-;               0.024;               0.036;-;0;-;0;               0.031;42.1;-; 0.1; 0.7; 0.2;27.6;0.27;84.5; 384;-;12.3;0.38;0;-;0; 0.8;-;-; 5.5;0.12;0.14; 0.4;0.37;0.17;  26;0
