ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
18.1;Fruits crus;13008;Cerise, dénoyautée, crue; 270;63.7; 270;63.7;82.8;1.16;1.16;12.7;0.25;12.7;0; 1.7;-;0.54;0;0.95;               0.055;0.07;               0.077;0;0;0;0;0;              0.0015;0.04;               0.013;0.07;               0.039;               0.038;0;0;0;< 0.01;               0.005;  15;-;               0.088;0.17;0.25;11.2;               0.056;24.5; 200;< 10;   2;               0.054;0;  38;0;0.14; 2.1;-; 8.5;               0.026;               0.032;0.18;0.23;               0.047;   6;0
18.1;Fruits crus;13067;Citron vert ou Lime, pulpe, cru; 139;32.8; 139;32.8;89.1;0.66;0.66;2.02; 0.2;1.69;-; 2.8;-; 0.3;0; 4.9;               0.023;0.02;               0.058;0;0;0;0;0;               0.001;               0.021;               0.001;               0.018;               0.038;0.02;0;0;0;0;               0.005;  33;-;               0.065; 0.6; 0.8;   6;               0.008;  18; 102;-;   2;0.11;0;  30;0;0.22; 0.6;-;29.1;0.03;0.02; 0.2;0.22;               0.043;   8;0
18.1;Fruits crus;13009;Citron, pulpe, cru; 166;39.1; 166;39.1;  89;0.84;0.84; 3.1; 0.7;2.85;0; 1.2;-; 0.3;0;4.88;0.15;               0.039;0.32;0;0;0;0;0;              0.0035;0.12;               0.007;               0.039;0.22;               0.093;0;0;0;0;               0.003;13.7;-;               0.034;0.34;0.65;8.54;               0.015;18.4; 157;2.09;0.99;               0.054;0;   3;0;0.48;0;-;  51;               0.043;               0.025;0.15;0.21;0.07;21.5;0
18.1;Fruits crus;13082;Clémentine, pulpe, crue;-;-;-;-;86.6; 0.8; 0.8;11.9;0.19;9.18;0; 1.7;-;0.39;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;< 0.83;               0.016;25.2;-;               0.035;0.09;  13;12.4;               0.018;  23; 154;< 10;6.46;               0.059;-;  58;0; 0.2;0;-;18.7;0.09;< 0.05;0.15; 0.2;0.05;  10;-
18.1;Fruits crus;13010;Coing, cru;-;-;-;-;83.5;0.48;0.48;13.4; 0.1; 6.3;-; 1.9;-; 0.4;0;-;              0.0085;               0.032;               0.043;0;0;0;0;0;0;               0.006;              0.0015;               0.027;               0.036;0;0;0;0;0;0.01;  11;-;0.13; 0.7; 0.4;   8;-;  17; 197;-;   4;0.04;0;-;0;0.55;-;-;  15;0.02;0.03; 0.2;               0.081;0.04;   3;0
18.1;Fruits crus;13063;Figue de Barbarie, pulpe et graines, crue;-;-;-;-;87.3;0.51;0.51;   6;0.31;1.02;-;4.45;-; 1.6;0;-;0.01;0.01;0.04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;               0.012; 118;-;               0.019;0.25; 1.5;  77;0.58;17.5; 175;-; 4.5;0.14;0;  60;0;0.01; 2.9;-;12.5;               0.011;               0.046;0.38;-;               0.079;   8;0
18.1;Fruits crus;13012;Figue, crue;-;-;-;-;79.8;0.85;0.85;14.3; 0.3;14.3;0;2.63;-;0.68;0;-;               0.069;               0.059;0.13;0;0;0;0;0;               0.002;               0.041;               0.011;               0.051;0.11;0;0;0;0;0;              0.0038;  39;-;0.07;0.37; 1.5;  17;0.13;22.5; 232;traces;   1;0.15;0;  85;0;0.11; 4.7;-;   2;0.06;0.05; 0.4; 0.3;0.11; 7.5;0
18.1;Fruits crus;13014;Fraise, crue; 148;34.9; 148;34.9;90.1;0.65;0.65;6.14;0.18;4.73;0.04; 1.5;-; 0.4;0;1.05;               0.018;               0.025; 0.1;0;0;0;0;0;             0.00096;               0.014;              0.0027;               0.025;               0.055;               0.046;0;0;0;< 0.07;               0.052;13.1;-;               0.026;0.18; 0.9;14.1; 0.3;23.4; 171;< 10;1.83;0.11;0;   7;0;0.37;11.1;-;67.4;               0.023;0.02;0.49;0.23;               0.047;70.5;0
18.1;Fruits crus;13015;Framboise, crue; 194;46.3; 194;46.3;84.9;1.28;1.28;4.91;0.36;4.91;0;5.99;-;0.46;0;2.12;               0.012;0.04;0.23;0;0;0;0;0;0;              0.0095;              0.0024;-;-;-;-;0;0;< 0.02;              0.0025;  25;-;0.09;0.69; 0.5;  22;0.67;  29; 151; 1.3;   1;0.42;0;  12;0;0.53; 7.8;-;26.2;               0.032;               0.038; 0.6;0.33;               0.055;  21;0
18.1;Fruits crus;13016;Fruit de la passion ou maracudja, pulpe et pépins, cru; 353;84.4; 353;84.4;72.9; 2.3; 2.3;9.39; 0.7;9.39;-;10.4;-; 0.8;0; 3.5;               0.059;               0.086;0.41;0;0;0;-;0;0;               0.045;               0.014;-;-;-;-;0;0;0;0.07;9.12;-;               0.086; 1.6; 0.9;  29;-;68.6; 348;-;  28; 0.1;0; 743;0;0.02; 0.7;-;  30;0;0.13; 1.5;-; 0.1;  14;0
18.1;Fruits crus;13997;Fruits rouges, crus (framboises, fraises, groseilles, cassis);-;-;-;-;85.1;1.11;1.11; 7.7;0.38;6.97;               0.013;5.16;-;0.46;0;-;               0.022;               0.054;0.23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;              0.0072;33.6;-;               0.088; 0.9;1.15;16.9;0.42;32.6; 225;0.35;2.61;0.22;0;49.5;0;0.67;-;-;77.5;               0.031;               0.084;0.38;0.21;               0.064;37.6;0
18.1;Fruits crus;13083;Goyave, pulpe, crue; 230;55.1; 230;55.1;82.1;1.59;1.59;6.05;0.73;5.96;               0.095;7.67;-;0.95;0;0.88;0.21;               0.067;0.31;0;0;0;0;0;               0.015;0.17;               0.019;               0.043;0.15;               0.059;0;0;0;0;               0.005;  14;-;0.23;0.26; 0.8;  16;0.15;  40; 308; 0.5;   2;0.21;0; 374;0;0.73; 2.6;-; 228;               0.052;0.04;1.08;0.45;               0.094;  49;0
18.1;Fruits crus;13018;Grenade, pulpe et pépins, crue; 321;75.9; 321;75.9;  80;1.29;1.29;14.2;0.74;13.7;-; 2.3;-;0.57;0;0.97;0.12;               0.093;               0.079;0;0;0;0;-;               0.006;0.07;               0.038;-;-;-;-;0;0;0;              0.0075; 6.5;-;0.11; 0.3; 0.9; 7.5;0.12;  22; 248;-;   3;0.35;0;0;0; 0.6;16.4;-;8.15;               0.049;               0.042; 0.3;0.49;0.09;  38;0
18.1;Fruits crus;13110;Griotte, crue;-;-;-;-;86.1; 1.1; 1.1;10.5; 0.3;10.5;-;1.65;-; 0.4;0;-;               0.084;               0.082;0.09;0;0;0;0;0;               0.002;               0.048;               0.016;-;-;-;-;0;0;0;              0.0063;  16;-; 0.1;0.32;-;   9;0.11;  15; 173;-;   3; 0.1;0; 770;0;0.07; 2.1;-;  10;0.03;0.04; 0.4;0.14;               0.044;   8;0
18.1;Fruits crus;13020;Groseille à maquereau, crue; 168;40.1; 168;40.1;87.9; 0.8; 0.8;4.83;0.59;-;-;4.03;-;0.47;0; 1.4;               0.058;               0.059;0.31;0;0;0;0;0;0;               0.045;               0.011;               0.059;0.17;0.12;0;0;0;0;              0.0038;25.4;-;               0.063;0.33; 0.3;   9;0.16;26.2; 187;               0.068; 1.5;0.14;0;-;0;0.69;-;-;  29;               0.033;               0.029;0.29;0.29;               0.048;8.85;0
18.1;Fruits crus;13019;Groseille, crue; 244;  58; 244;  58;83.4;1.32;1.32;7.14;0.95;7.14;0;4.25;-;0.58;0;2.38; 0.2;0.15; 0.4;0;0;0;0;0;0;0.16;               0.037;0.15;0.22;0.17;0;0;0;< 0.02;               0.005;32.1;-;               0.098;0.83;1.05;  12;0.19;47.5; 269;0;   2;0.21;0;  25;0;0.45;  11;-;  45;               0.033;               0.035; 0.2;               0.064;               0.058;  17;0
18.1;Fruits crus;13066;Kaki, pulpe, cru;-;-;-;-;73.5;0.69;0.69;17.1;0.35;12.4;-;4.75;-; 0.7;0;-;0.02;               0.037;               0.043;0;0;0;-;0;               0.001;               0.016;               0.003;-;-;-;-;0;0;0;               0.014;22.5;-;0.11;1.33; 0.8;  10;0.36;21.5; 259;-; 5.5;               0.081;0; 253;0;0.73; 2.6;-;36.8;0.03;0.02; 0.1;-;               0.065;   8;0
18.1;Fruits crus;13021;Kiwi, pulpe et graines, cru; 246;58.5; 246;58.5;83.6; 1.2; 1.2;8.44;0.95;7.89;0; 3.5;-;0.83;0;1.49; 0.1;               0.047;0.29;0;0;0;0;0;             0.00076;               0.067;               0.028;               0.047;               0.068;0.22;-;0;0;< 0.0033;              0.0086;27.5;  61;0.12;0.17;< 5;14.3;               0.056;33.4; 297;< 10;1.99;               0.082;0;  52;0;1.46;40.3;-;92.7;               0.017;               0.025;0.34;0.18;               0.092;33.5;0
18.1;Fruits crus;13549;Kumquat, sans pépin, cru;-;-;-;-;81.9;1.57;1.57; 9.6;1.18;9.36;-;5.45;-;0.51;0;-;0.17;0.27; 0.3;0;0;0;0;0;               0.007;0.16;               0.007;0.27;0.21;               0.081;0;0;0;0;0.02;65.5;-;               0.095;0.67;-;17.5;0.14;  19; 158;0;   8;0.13;0;0;0;0.15;0;-;  45;               0.037;0.09;0.43;0.21;               0.036;  17;0
18.1;Fruits crus;13023;Litchi, pulpe, cru;-;-;-;-;81.8;0.76;0.76;15.2;0.42;15.2;-; 1.3;-;0.42;0;-;               0.099;0.12;0.13;0;0;0;0;0;               0.002;0.07;               0.024;-;-;-;-;0;0;0;              0.0025;   5;-;0.15;0.31; 0.8;  10;               0.055;  31; 171;-;   1;0.07;0;0;0;0.07; 0.4;-;71.5;               0.011;               0.065; 0.6;-; 0.1;  14;0
18.1;Fruits crus;13090;Mandarine, pulpe, crue;-;-;-;-;86.3;0.72;0.72; 9.7;0.31; 9.7;0; 1.5;-;0.34;0;-;               0.037;               0.057;               0.062;0;0;0;0;0;               0.002;               0.033;               0.002;               0.047;               0.043;               0.016;0;0;0;0;0.01;32.8;-;               0.049;0.16;0.35;10.5;               0.047;19.6; 137; 0.4;   4;               0.083;0; 155;0;0.38;0;-;26.7;               0.082;               0.036;0.29;0.21;               0.074;18.5;0
18.1;Fruits crus;13025;Mangue, pulpe, crue; 270;63.7; 270;63.7;83.2;0.62;0.62;13.5;0.31;11.3; 0.3;1.71;-;0.31;0;0.34;               0.073;0.11;               0.058;0;0;0;0;-;               0.011;               0.059;              0.0035;               0.099;               0.016;               0.042;0;0;0;0;              0.0045;12.5;-;0.11; 0.2;0.91; 9.5;               0.045;14.8; 137; 0.6;   5;               0.085;0; 640;0;1.01; 4.2;-;32.1;               0.043;               0.048;0.63;0.18;0.13;  57;0
18.1;Fruits crus;13026;Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru; 178;41.9; 178;41.9;88.7;0.73;0.73;8.79; 0.2;6.95;0.03;0.93;-;0.63;0;0.08;               0.047;               0.013;               0.068;0;0;0;0;-;               0.001;               0.039;               0.006;               0.013;               0.022;               0.032;0;0;0;< 0.017;               0.022;12.3;-;               0.043;0.16;0.41;18.9;               0.033;23.6; 335;< 10;   9;0.17;0;2020;0;0.05; 2.5;-;28.8;               0.038;               0.022; 0.7;0.14;               0.068;23.3;0
18.1;Fruits crus;13742;Melon miel ou melon honeydew, pulpe, cru;-;-;-;-;91.9;0.58;0.58; 4.3;0.17; 4.3;0;0.75;-;0.56;0;-;               0.044;               0.015;               0.062;0;0;0;0;-;               0.002;               0.037;              0.0054;               0.015;               0.025;               0.037;0;0;0;0;0.06;   6;-;               0.033;0.34;0;9.08;               0.034;15.8; 237;0;24.1;               0.086;0;  30;0;               0.035; 2.9;-;16.8;               0.032;               0.016;0.58;0.13;               0.072;  17;0
18.1;Fruits crus;13028;Myrtille, crue; 251;59.3; 251;59.3;83.8;0.81;0.81;  11;0.33;9.96;0.03; 2.4;               0.014;0.24;0;1.37;               0.028;               0.047;0.15;0;0;0;0;0;0;               0.017;               0.005;-;-;-;-;0;0;< 0.01;              0.0025;   6;-;               0.057;0.28; 0.5;   6;0.34;  12;  77;traces;   1;0.16;0;  32;0;0.57;19.3;-; 9.7;               0.037;               0.041;0.42;0.12;               0.052;   6;0
18.1;Fruits crus;13029;Mûre (de ronce), crue; 172;41.1; 172;41.1;87.7;1.32;1.32; 4.2;0.75; 4.2;0; 4.8;-;0.39;0; 0.9;               0.014;               0.047;0.28;0;0;0;0;0;0;               0.011;              0.0028;-;-;-;-;0;0;0;              0.0039;  28;-;0.14;0.59; 0.4;21.5;0.65;29.5; 214; 0.1; 1.5;0.53;0; 128;0;3.34;19.8;-;  18;               0.019;               0.038;0.57;0.26;0.04;  25;0
18.1;Fruits crus;13071;Mûre noire (du mûrier), crue;-;-;-;-;87.7;1.44;1.44; 8.1;0.39; 8.1;-; 1.7;-;0.69;0;-;               0.027;               0.041;0.21;0;0;0;0;0;0;               0.006;0.02;-;-;-;-;0;0;0;               0.025;  39;-;0.06;1.85; 0.4;  18; 1.1;  38; 194;-;  10;0.12;0;   9;0;0.87; 7.8;-;36.4;               0.029; 0.1;0.62;0.26;0.05;   6;0
18.1;Fruits crus;13030;Nectarine ou brugnon, pulpe et peau, crue;-;-;-;-;86.8;1.16;1.16; 8.9;0.31;8.05;0.07;1.81;0.08;0.49;0;-;               0.025;               0.088;0.11;0;0;0;0;0;0;               0.023;               0.002;-;-;-;-;0;0;0;              0.0027;3.38;-;               0.078;0.28;0.85;8.31;               0.061;26.7; 201;< 2.2;1.09;               0.091;0; 150;0;0.77; 2.2;-; 5.4;               0.034;               0.027;1.13;0.19;               0.025;   5;0
18.1;Fruits crus;13034;Orange, pulpe, crue; 196;46.4; 196;46.4;  87;1.06;1.06;8.04;0.28;8.04;-;2.08;-;0.43;0;1.13;               0.067;               0.075;0.13;0;0;0;0;0;0;               0.051;               0.015;               0.075;               0.093;               0.037;-;0;0;0.13;              0.0031;29.7;-;               0.035;               0.089;0.65;12.4;               0.029;18.1; 151;< 10;1.25;               0.066;0;  71;0;0.37; 0.1;-;  57;               0.087;               0.036;0.29;0.22;               0.071;38.1;0
18.1;Fruits crus;13614;Pamplemousse chinois, pulpe, cru;-;-;-;-;89.1;0.76;0.76;8.62;0.04;-;-;   1;-;0.48;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;              0.0025;   4;-;               0.048;0.11;-;   6;               0.017;  17; 216;-;   1;0.08;0;0;-;-;-;-;  61;               0.034;               0.027;0.22;-;               0.036;-;0
18.1;Fruits crus;13035;Papaye, pulpe, crue;-;-;-;-;87.8;0.58;0.58; 9.9;0.28;7.46;0; 1.9;-;0.45;0;-;               0.087;               0.077;               0.062;0;0;0;0;-;               0.014;               0.064;               0.004;               0.038;               0.012;0.05;0;0;0;0;               0.013;22.3;-;               0.031;0.48; 0.8;21.5;               0.026;10.2; 190;-;   6;               0.077;0; 274;0; 0.3; 2.6;-;61.4;               0.025;0.03;0.35; 0.2;               0.029;47.5;0
18.1;Fruits crus;13036;Pastèque, pulpe, crue; 147;34.7; 147;34.7;90.9;0.62;0.62;7.33;0.13; 6.7;0;0.43;-;0.28;0; 0.3;0.02;               0.025;               0.041;0;0;0;-;-;0;               0.014;               0.005;               0.011;               0.013;               0.019;0;0;0;0;              0.0073;< 1.28;-;               0.028;0.27;0.13;12.6;               0.031;15.4; 129;< 2.97;< 0.29;< 0.016;0; 303;0;0.05; 0.1;-; 9.7;               0.027;               0.021;0.18;0.26;               0.045;   3;0
18.1;Fruits crus;13037;Poire, pulpe et peau, crue;-;-;-;-;83.5;0.49;0.49;10.9;0.27;9.15;0; 2.9;1.75;0.39;0;-;               0.067;               0.057;0.12;0;0;0;0;0;< 0.00022;               0.048;              0.0093;               0.017; 0.1;               0.015;-;0;0;0;              0.0045;6.46;  61;               0.071;               0.072; 0.7;8.23;0.03;15.4; 132;< 10; 1.8;               0.097;0;  14;0;0.41; 4.4;-;4.62;               0.015;               0.021;0.23;0.06;               0.022;11.5;0
18.1;Fruits crus;13179;Pomelo (dit Pamplemousse) jaune, pulpe, cru;-;-;-;-;90.2;0.69;0.69;7.42; 0.1;6.52;-;   1;-;0.33;0;-;               0.014;               0.013;               0.024;0;0;0;0;0;0;               0.012;               0.001;-;-;-;-;0;0;0;0;  12;-;0.05;0.06;-;   9;               0.013;   8; 148;-;0;0.07;0;  14;0;0.13;0;-;33.3;               0.037;0.02;0.27;0.28;               0.043;  10;0
18.1;Fruits crus;13180;Pomelo (dit Pamplemousse) rose, pulpe, cru;-;-;-;-;88.5;0.77;0.77; 6.2;0.14; 6.2;0; 1.6;-;0.36;0;-;               0.021;0.02;               0.036;0;0;0;0;0;0;               0.018;               0.002;-;-;-;-;0;0;0.15;0;  22;-;               0.032;0.08;-;   9;               0.022;  18; 135;-;0;0.07;0; 686;0;0.13;0;-;31.2;               0.043;               0.031; 0.2;0.26;               0.053;  13;0
18.1;Fruits crus;13040;Pomelo (dit Pamplemousse), pulpe, cru; 149;35.1; 149;35.1;90.1;0.63;0.63;5.92; 0.2;5.92;-;1.33;-;0.31;0;1.48;               0.045;               0.034;               0.067;0;0;0;0;0;0;0.04;               0.005;               0.034;               0.052;               0.015;0;0;0;0;              0.0041;23.3;-;               0.036;               0.051; 0.3;11.7;               0.021;13.8; 144;< 10;1.63;               0.063;0; 552;0;0.22;0;-;40.9;               0.043;               0.028;0.28;0.28;               0.044;24.5;0
18.1;Fruits crus;13085;Pomme Canada, pulpe, crue;-;-;-;-;84.4; 0.4; 0.4;11.6; 0.1;  11;traces; 1.6;0.59;0.18;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;              0.0092;3.59;-;               0.035;0.14;   1;3.76;0.03;8.61; 154;               0.045;3.69;0.09;0;-;0;0.27;-;-;   4;0.03;0.02; 0.1;traces;0.06;   1;0
18.1;Fruits crus;13039;Pomme, pulpe et peau, crue;-;-;-;-;85.4;0.25;0.25;11.6;0.25;10.1;0.05; 1.4;-;0.56;0;0.46;               0.052;0.01;0.15;0;0;0;0;0;              0.0008;               0.031;               0.011;0.01;               0.062;              0.0067;0;0;0;0;              0.0037;5.34;  61;               0.041;               0.099; 0.2;6.47;               0.036;14.4; 119;< 10; 1.5;               0.031;0;21.4;0;0.37;2.39;-;6.25;               0.016;               0.019;               0.091;               0.079;               0.048;   6;0
18.1;Fruits crus;13041;Prune Reine-Claude, crue;-;-;-;-;84.2;0.81;0.81;10.9; 0.1; 9.6;0;2.28;-; 0.6;0;-;0.01;0.07;0.02;-;-;-;-;-;-;-;-;-;-;-;-;-;-;< 0.43;              0.0019;8.71;-;               0.067;0.66; 2.5; 7.6;               0.076;  25; 257;< 3.58;0.64;               0.078;0;  95;0; 0.7;-;-; 5.4;0.05;0.04; 0.6; 0.2;0.05;5.33;0
18.1;Fruits crus;13100;Prune, crue;-;-;-;-;85.9;0.66;0.66;9.41;0.29;9.29;0;1.96;-;0.49;0;1.27;               0.038;               0.076; 0.1;0;0;0;0;0;0;               0.029;              0.0085;               0.017;0.07;               0.035;-;0;0;0;              0.0075;7.29;-;0.06;0.16; 0.4;   6;               0.076;17.8; 149;0.11;   3;               0.096;0; 190;0;0.33; 6.4;-;7.25;               0.024;               0.026;0.41;0.14;               0.037;   4;0
18.1;Fruits crus;13043;Pêche, pulpe et peau, crue;-;-;-;-;  87;1.08;1.08;   9;0.33;8.19;0;2.02;0.81;0.42;0;-;               0.027;               0.096;0.12;0;0;0;0;0;0;               0.024;              0.0029;               0.096;0.12;              0.0031;0;0;0;0;              0.0075;7.32;-;               0.075;0.15;0.55;11.2;               0.064;  21; 215;0.16;< 1.11;0.12;0; 162;0;1.27; 2.6;-; 6.6;               0.022;               0.046; 0.7;0.16;               0.028; 4.1;0
18.1;Fruits crus;13044;Raisin blanc, à gros grain (type Italia ou Dattier), cru;-;-;-;-;81.3;0.63;0.63;16.4; 0.3;16.1;-; 0.9; 0.2; 0.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;< 0.13;              0.0047;10.8;-; 0.1;0.16; 0.5;8.98;               0.058;  20; 200;< 10;1.18;               0.047;-;-;-;-;-;-;   4;0.05;0.03; 0.3;-;0.09;10.1;0
18.1;Fruits crus;13045;Raisin noir, cru;-;-;-;-;82.4; 0.6; 0.6;15.6; 0.4;  15;-; 1.3; 0.2; 0.4;0;-;0.13;               0.016;0.12;0;0;0;0;0;               0.003;0.11;               0.015;               0.016;0.09;               0.027;0;0;0;< 0.045;              0.0075;8.98;-;               0.078; 0.2;0.45;6.78;               0.051;21.8; 152;< 2.97;< 0.39;               0.038;0;  24;0; 0.4;-;-;10.8;               0.045;0.01;0.15;               0.075;0.04;   5;0
18.1;Fruits crus;13112;Raisin, cru;-;-;-;-;81.2;0.72;0.72;14.4;0.16;14.2;0;0.75; 0.2;0.48;0;-;               0.054;               0.007;               0.048;0;0;0;0;0;               0.001;               0.046;               0.006;-;-;-;-;0;0;0;               0.005;  10;-;0.13;0.36; 0.5;   7;               0.071;  20; 191; 0.8;   2;0.07;0;  39;0;0.19;14.6;-; 3.2;               0.069;0.07;0.19;0.05;               0.086;   2;0
18.1;Fruits crus;13047;Rhubarbe, tige, crue;85.7;20.4;85.7;20.4;92.4;0.76;0.76;1.17;0.23;1.17;-;2.47;-;1.12;0; 1.9;               0.053;               0.023;0.12;0;0;0;0;0;               0.001;               0.046;               0.005;               0.016;               0.089;               0.029;-;0;0;0;              0.0093; 129;-;               0.039;0.28; 0.3;13.5;0.16;18.6; 239;0.37;   3;0.17;0;62.5;0;0.31;29.3;-; 9.7;               0.028;0.03;0.25;0.08;               0.032;7.25;0
18.1;Fruits crus;13134;Salade de fruits, crue;-;-;-;-;  78;0.61;0.61;14.8;0.24;14.2;-;1.36;-;0.72;0;-;               0.031;               0.014;               0.061;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.03;              0.0037;14.5;-;               0.071;0.29;1.27;16.4;0.34;16.7; 203; 4.9;0.81;               0.094;0;  35;0;0.37;-;-;22.3;               0.043;               0.032;0.32;0.15;0.17;20.2;0
18.1;Fruits crus;13126;Sureau, baie, crue;-;-;-;-;79.8;0.64;0.64;11.4; 0.5;-;-;   7;-;0.62;0;-;               0.028;               0.055;0.27;0;0;0;0;0;0;               0.022;               0.006;               0.029;0.15;0.12;0;0;0;0;               0.018;42.7;-;               0.062;1.25; 2.5;18.5;-;47.4; 301; 0.6;   7;0.16;0;-;0;   1;-;-;32.5;0.07;0.06; 1.1;0.14;0.21;   9;0
18.1;Fruits crus;13079;Tamarin, fruit immature, pulpe, cru;-;-;-;-;31.4;2.65;2.65;57.4; 0.6;38.8;-; 5.1;-; 2.7;0;-;0.24;0.17;               0.056;0;0;0;0;0;              0.0065;0.16;               0.057;0.16;               0.052;0;0;0;0;0;0.07;  74;-;               0.086; 2.8;-;  92;-; 113; 628;-;  28; 0.1;0;  18;0; 0.1; 2.8;-; 3.5;0.43;0.15;1.94;0.14;               0.066;  14;0
20;Fruits à coques et graines oléagineuses;15000;Amande (avec peau);2620; 634;2550; 617;4.58;21.1;25.4;7.85;53.4; 4.4; 0.6;10.2;-;2.93;0;0;4.19;31.8;13.5;< 0.005;< 0.005;< 0.005; 1.5;< 0.0033;               0.017;2.19;0.48;31.5;11.6;               0.052;< 0.01;< 0.005;< 0.005;0.89;               0.004; 248;< 61; 0.9;   3; 5.7; 232;1.39; 416; 668;< 2.2;1.61;2.85;0;   1;0;14.6;0;-;< 0.5;0.18;0.91; 3.4;0.28;0.11;93.1;0
20;Fruits à coques et graines oléagineuses;15041;Amande, mondée, émondée ou blanchie;2630; 636;2560; 618;3.81;21.4;25.8;10.6;52.5;4.63;   1;8.75;-;2.91;0;0;3.95;33.4;12.4;0;0;0;0;0;0;3.27;0.67;-;-;-;-;0;0;0;               0.048; 236;-;1.03;3.28;-; 268;1.84; 481; 659;-;  19;2.97;0;   4;0;23.8;0;-;0;0.19;0.71; 3.5;0.31;0.12;  49;0
20;Fruits à coques et graines oléagineuses;20581;Arachide, bouillie/cuite à l'eau, salée;1330; 320;1330; 320;41.8;15.5;15.5;10.5;  22;2.47;-; 8.8;-;1.45;0;0;3.06;10.9;6.96;0;0;0;0;0;               0.011; 2.3;0.49;-;-;-;-;0;0;0;1.88;  55;-; 0.5;1.01;-; 102;1.02; 198; 180;-; 751;1.83;0;0;0; 4.1;0;-;0;0.26;               0.063;5.26;0.83;0.15;  75;0
20;Fruits à coques et graines oléagineuses;15202;Beurre de cacahuète ou Pâte d'arachide;2690; 648;2630; 636;1.37;22.2;25.4;  16;52.5;10.5;3.56;   5;-;2.89;0;0;10.4;26.4;12.9;0;0;0;0;0;0.02;5.29;2.51;25.7;12.9;               0.027;-;0;0;0;0.99;  43;-;0.56;1.92;1.25; 174;1.59; 333; 629; 6.9; 388;2.76;0;0;0; 6.9; 0.3;-;0;0.16;0.15;14.1;1.09;0.47;  70;0
20;Fruits à coques et graines oléagineuses;15001;Cacahuète ou Arachide;2640; 636;2580; 622;1.23;24.9;28.5;14.9;  50;4.72; 6.2; 6.2;-;2.75;0;0;10.3;20.7;15.8;0;0;0;0;0;               0.036;5.28;1.43;20.2;15.8;               0.045;-;0;0;0;               0.022;73.8;10.4;   1;3.24;3.25; 193;1.73; 370; 704; 6.9;  10; 2.9;0;0;0;1.17;0;-;0;0.12;0.12;24.9;1.49;0.47;96.2;0
20;Fruits à coques et graines oléagineuses;15002;Cacahuète, grillée, salée;2620; 633;2570; 620;1.22;22.4;25.7;15.2;50.3;3.62;10.7;7.94;-;2.85;0;0;8.53;24.3;14.4;0;0;0;               0.038;               0.038;0.03;4.85;1.12;22.5;12.5;               0.041;0;0;0;0;1.14;47.4; 304;0.68; 1.2; 5.7; 169;1.19; 244; 531; 4.8; 455;2.92;0;0;0; 2.5;0;-;< 0.5;0.14;               0.069;12.4;1.17;0.43;66.6;0
